<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD_SPT;D;20181115;000000;1.1298000;1.1298000;1.1298000;1.1298000
EURUSD_SPT;D;20181116;000000;1.1414000;1.1414000;1.1414000;1.1414000
EURUSD_SPT;D;20181119;000000;1.1441000;1.1441000;1.1441000;1.1441000
EURUSD_SPT;D;20181122;000000;1.1404000;1.1404000;1.1404000;1.1404000
EURUSD_SPT;D;20181211;000000;1.1392400;1.1392400;1.1392400;1.1392400
EURUSD_SPT;D;20181214;000000;1.1277400;1.1277400;1.1277400;1.1277400
EURUSD_SPT;D;20190114;000000;1.1462500;1.1462500;1.1462500;1.1462500
EURUSD_SPT;D;20190115;000000;1.1419000;1.1419000;1.1419000;1.1419000
EURUSD_SPT;D;20190116;000000;1.1414000;1.1414000;1.1414000;1.1414000
EURUSD_SPT;D;20190118;000000;1.1396500;1.1409000;1.1369500;1.1370500
EURUSD_SPT;D;20190121;000000;1.1379300;1.1379300;1.1358900;1.1366900
EURUSD_SPT;D;20190124;000000;1.1342500;1.1342500;1.1332000;1.1332000
EURUSD_SPT;D;20190212;000000;1.1284900;1.1284900;1.1284900;1.1284900
EURUSD_SPT;D;20190319;000000;1.1345200;1.1345200;1.1345200;1.1345200
EURUSD_SPT;D;20190321;000000;1.1406800;1.1406800;1.1383500;1.1386000
EURUSD_SPT;D;20190402;000000;1.1196900;1.1196900;1.1196900;1.1196900
EURUSD_SPT;D;20190405;000000;1.1231200;1.1231200;1.1231200;1.1231200
EURUSD_SPT;D;20190510;000000;1.1231100;1.1231100;1.1228800;1.1228800
EURUSD_SPT;D;20190516;000000;1.1200300;1.1200300;1.1200300;1.1200300
EURUSD_SPT;D;20190605;000000;1.1303800;1.1305400;1.1241800;1.1241800
EURUSD_SPT;D;20190606;000000;1.1246000;1.1302000;1.1246000;1.1298600
EURUSD_SPT;D;20190607;000000;1.1336200;1.1336200;1.1336200;1.1336200
EURUSD_SPT;D;20190614;000000;1.1207000;1.1207000;1.1207000;1.1207000
EURUSD_SPT;D;20190617;000000;1.1226200;1.1226200;1.1226200;1.1226200
EURUSD_SPT;D;20190618;000000;1.1201200;1.1201200;1.1195600;1.1195600
EURUSD_SPT;D;20190619;000000;1.1244000;1.1247800;1.1233000;1.1247800
EURUSD_SPT;D;20190620;000000;1.1283200;1.1283200;1.1283200;1.1283200
EURUSD_SPT;D;20190621;000000;1.1315000;1.1324800;1.1315000;1.1324800
EURUSD_SPT;D;20190625;000000;1.1376000;1.1376000;1.1348200;1.1348200
EURUSD_SPT;D;20190628;000000;1.1388200;1.1388200;1.1382800;1.1382800
EURUSD_SPT;D;20190701;000000;1.1324000;1.1329200;1.1293200;1.1293200
EURUSD_SPT;D;20190702;000000;1.1309000;1.1309000;1.1308800;1.1308800
EURUSD_SPT;D;20190802;000000;1.1092000;1.1092000;1.1092000;1.1092000
EURUSD_SPT;D;20190805;000000;1.1119800;1.1119800;1.1119800;1.1119800
EURUSD_SPT;D;20190809;000000;1.1200300;1.1200300;1.1200300;1.1200300
EURUSD_SPT;D;20190906;000000;1.1049200;1.1049200;1.1049200;1.1049200
EURUSD_SPT;D;20190918;000000;1.1060000;1.1060000;1.1060000;1.1060000
EURUSD_SPT;D;20191010;000000;1.1010000;1.1021000;1.1010000;1.1020500
EURUSD_SPT;D;20191121;000000;1.1086500;1.1086500;1.1086500;1.1086500
