<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,60,20191121,010000,8084.6500000,8103.2100000,8065.7100000,8086.4300000,244
GDAX.BTC-USD,60,20191121,020000,8086.4300000,8106.3200000,8068.2100000,8081.0900000,178
GDAX.BTC-USD,60,20191121,030000,8081.1000000,8086.0200000,8056.5400000,8082.9600000,217
GDAX.BTC-USD,60,20191121,040000,8082.9700000,8086.1200000,8060.9100000,8086.1200000,292
GDAX.BTC-USD,60,20191121,050000,8086.1100000,8114.9700000,8079.6700000,8109.2500000,175
GDAX.BTC-USD,60,20191121,060000,8109.2400000,8110.8000000,8089.3000000,8099.9900000,127
GDAX.BTC-USD,60,20191121,070000,8099.9900000,8109.6500000,8080.4400000,8099.9900000,206
GDAX.BTC-USD,60,20191121,080000,8099.9900000,8101.6400000,8083.5600000,8093.1100000,93
GDAX.BTC-USD,60,20191121,090000,8093.9600000,8107.8000000,8092.2300000,8106.6100000,101
GDAX.BTC-USD,60,20191121,100000,8106.6000000,8106.6100000,8062.4300000,8071.8700000,109
GDAX.BTC-USD,60,20191121,110000,8071.8600000,8078.2500000,8057.9100000,8065.1400000,236
GDAX.BTC-USD,60,20191121,120000,8065.1400000,8069.7300000,7878.0000000,7905.1600000,1230
GDAX.BTC-USD,60,20191121,130000,7905.1700000,7939.9200000,7890.0700000,7910.3900000,321
GDAX.BTC-USD,60,20191121,140000,7911.3900000,7918.7100000,7888.3600000,7901.2000000,222
GDAX.BTC-USD,60,20191121,150000,7901.0000000,7901.7700000,7831.6300000,7844.2300000,609
GDAX.BTC-USD,60,20191121,160000,7844.2300000,7886.0000000,7825.8000000,7880.1700000,736
GDAX.BTC-USD,60,20191121,170000,7879.2100000,7883.9200000,7855.4100000,7858.4300000,300
GDAX.BTC-USD,60,20191121,180000,7858.4300000,7874.8500000,7755.0500000,7771.2700000,956
GDAX.BTC-USD,60,20191121,190000,7770.0100000,7770.0100000,7374.5000000,7609.6500000,6158
GDAX.BTC-USD,60,20191121,200000,7609.6500000,7640.5100000,7575.6600000,7592.4800000,1198
GDAX.BTC-USD,60,20191121,210000,7592.4800000,7593.9800000,7531.7000000,7558.7500000,903
GDAX.BTC-USD,60,20191121,220000,7558.7500000,7593.1500000,7550.0000000,7576.5800000,659
GDAX.BTC-USD,60,20191121,230000,7577.9700000,7619.7400000,7573.1000000,7616.5400000,516
GDAX.BTC-USD,60,20191122,000000,7616.5400000,7650.1500000,7562.0000000,7585.8500000,713
GDAX.BTC-USD,60,20191122,010000,7585.8500000,7589.8900000,7585.8400000,7588.8000000,6
