<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GDAX.BTC-EUR;D;20190301;000000;3341.8900000;3384.5600000;3340.7400000;3358.0400000
GDAX.BTC-EUR;D;20190302;000000;3358.0400000;3365.0400000;3321.0000000;3360.5700000
GDAX.BTC-EUR;D;20190303;000000;3361.9200000;3365.0000000;3325.0000000;3333.9200000
GDAX.BTC-EUR;D;20190304;000000;3333.9300000;3351.8000000;3252.9900000;3270.5300000
GDAX.BTC-EUR;D;20190305;000000;3270.5300000;3435.9000000;3263.9900000;3402.5400000
GDAX.BTC-EUR;D;20190306;000000;3402.5400000;3438.0000000;3368.2200000;3407.0600000
GDAX.BTC-EUR;D;20190307;000000;3407.0700000;3464.0200000;3389.9000000;3445.6600000
GDAX.BTC-EUR;D;20190308;000000;3447.0000000;3490.0000000;3367.5000000;3422.1300000
GDAX.BTC-EUR;D;20190309;000000;3422.1300000;3514.0000000;3422.1200000;3485.0000000
GDAX.BTC-EUR;D;20190310;000000;3485.0000000;3485.4600000;3452.6400000;3468.2200000
GDAX.BTC-EUR;D;20190311;000000;3468.2200000;3479.5500000;3392.4700000;3426.3000000
GDAX.BTC-EUR;D;20190312;000000;3425.2300000;3444.2500000;3381.1600000;3422.0000000
GDAX.BTC-EUR;D;20190313;000000;3422.0100000;3429.9900000;3400.0000000;3400.4900000
GDAX.BTC-EUR;D;20190314;000000;3400.4800000;3435.0000000;3342.1400000;3406.7800000
GDAX.BTC-EUR;D;20190315;000000;3406.0100000;3449.8900000;3401.0000000;3441.0100000
GDAX.BTC-EUR;D;20190316;000000;3441.0200000;3524.9500000;3440.6500000;3488.4900000
GDAX.BTC-EUR;D;20190317;000000;3488.4900000;3507.9200000;3460.0000000;3497.4100000
GDAX.BTC-EUR;D;20190318;000000;3497.4000000;3546.8100000;3475.1700000;3509.4500000
GDAX.BTC-EUR;D;20190319;000000;3509.5000000;3535.0000000;3489.5100000;3524.9700000
GDAX.BTC-EUR;D;20190320;000000;3524.9700000;3534.9900000;3505.0000000;3531.5300000
GDAX.BTC-EUR;D;20190321;000000;3531.0100000;3561.2300000;3456.8900000;3503.2500000
GDAX.BTC-EUR;D;20190322;000000;3503.2500000;3546.0000000;3490.0000000;3531.2600000
GDAX.BTC-EUR;D;20190323;000000;3531.2800000;3545.0000000;3510.0000000;3523.8100000
GDAX.BTC-EUR;D;20190324;000000;3526.1500000;3526.6300000;3490.8100000;3515.0700000
GDAX.BTC-EUR;D;20190325;000000;3515.0700000;3519.5500000;3421.0000000;3458.1400000
GDAX.BTC-EUR;D;20190326;000000;3458.1300000;3485.2000000;3443.7000000;3482.6100000
GDAX.BTC-EUR;D;20190327;000000;3482.4900000;3578.9900000;3475.1700000;3576.9300000
GDAX.BTC-EUR;D;20190328;000000;3574.8700000;3581.8200000;3551.7100000;3574.5900000
GDAX.BTC-EUR;D;20190329;000000;3574.3900000;3655.0000000;3569.0100000;3653.0000000
GDAX.BTC-EUR;D;20190330;000000;3653.0100000;3681.0000000;3620.0000000;3649.4300000
GDAX.BTC-EUR;D;20190331;000000;3649.4300000;3658.0000000;3635.6100000;3647.8700000
GDAX.BTC-EUR;D;20190401;000000;3649.1400000;3707.0600000;3621.3200000;3701.6700000
GDAX.BTC-EUR;D;20190402;000000;3700.5100000;4500.0000000;3698.6500000;4378.7000000
GDAX.BTC-EUR;D;20190403;000000;4373.8700000;4759.0000000;4261.0000000;4424.9800000
GDAX.BTC-EUR;D;20190404;000000;4424.9000000;4511.1800000;4254.1600000;4371.6900000
GDAX.BTC-EUR;D;20190405;000000;4371.6900000;4510.0000000;4357.1500000;4499.3500000
GDAX.BTC-EUR;D;20190406;000000;4499.7100000;4677.2300000;4401.0000000;4502.2100000
GDAX.BTC-EUR;D;20190407;000000;4504.0600000;4685.1000000;4497.7600000;4635.0100000
GDAX.BTC-EUR;D;20190408;000000;4635.0000000;4766.3700000;4578.0000000;4709.4700000
GDAX.BTC-EUR;D;20190409;000000;4704.5400000;4704.5400000;4586.0000000;4608.8500000
GDAX.BTC-EUR;D;20190410;000000;4609.0600000;4856.0000000;4597.0100000;4728.6000000
GDAX.BTC-EUR;D;20190411;000000;4730.0000000;4747.9700000;4401.0000000;4490.0000000
GDAX.BTC-EUR;D;20190412;000000;4489.9900000;4530.2300000;4355.0000000;4502.5500000
GDAX.BTC-EUR;D;20190413;000000;4500.0000000;4537.9800000;4472.7800000;4492.8100000
