<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
btcUSD;M;20141201;000000;300.0000000;398.0000000;300.0000000;340.0000000
btcUSD;M;20150101;000000;360.0000000;360.0000000;109.8700000;218.4500000
btcUSD;M;20150201;000000;218.6700000;267.8600000;210.0000000;255.5900000
btcUSD;M;20150301;000000;255.7300000;299.4800000;234.5100000;245.5000000
btcUSD;M;20150401;000000;245.5000000;263.0000000;215.5600000;236.8100000
btcUSD;M;20150501;000000;236.7800000;247.6000000;228.3800000;230.2100000
btcUSD;M;20150601;000000;230.1800000;269.3900000;221.5800000;263.8200000
btcUSD;M;20150701;000000;263.8300000;316.5200000;252.7700000;285.1900000
btcUSD;M;20150801;000000;285.2000000;286.4700000;198.0200000;230.7500000
btcUSD;M;20150901;000000;230.7600000;247.8200000;224.4500000;237.1400000
btcUSD;M;20151001;000000;237.1000000;336.9700000;236.9000000;314.8500000
btcUSD;M;20151101;000000;314.8400000;499.9900000;293.3200000;376.8600000
btcUSD;M;20151201;000000;376.8800000;469.3400000;347.5500000;430.3500000
btcUSD;M;20160101;000000;430.3500000;464.4000000;350.9200000;367.9500000
btcUSD;M;20160201;000000;367.8900000;448.7000000;360.0000000;436.4400000
btcUSD;M;20160301;000000;436.4100000;437.7800000;381.0900000;416.0300000
btcUSD;M;20160401;000000;416.0300000;472.3800000;414.1200000;454.0200000
btcUSD;M;20160501;000000;454.0200000;549.9900000;435.0000000;531.3400000
btcUSD;M;20160601;000000;531.2500000;785.1500000;475.0000000;673.4900000
btcUSD;M;20160701;000000;673.5000000;705.2500000;608.0000000;626.9700000
btcUSD;M;20160801;000000;626.9700000;629.3400000;483.0000000;572.8900000
btcUSD;M;20160901;000000;572.8900000;631.3000000;568.1200000;608.9900000
btcUSD;M;20161001;000000;608.9900000;725.6400000;606.9300000;696.9000000
btcUSD;M;20161101;000000;697.0700000;753.8100000;671.2300000;742.6900000
btcUSD;M;20161201;000000;742.5100000;988.8800000;741.5900000;973.3700000
btcUSD;M;20170101;000000;973.3700000;1175.0000000;734.6400000;970.0100000
btcUSD;M;20170201;000000;970.0100000;1221.9300000;925.0000000;1195.0800000
btcUSD;M;20170301;000000;1194.5300000;1360.0000000;890.0500000;1088.9900000
btcUSD;M;20170401;000000;1088.9900000;1394.5100000;900.0000000;1384.5500000
btcUSD;M;20170501;000000;1384.5500000;2806.0000000;1370.9800000;2303.2900000
btcUSD;M;20170601;000000;2303.6100000;2999.9900000;2050.0000000;2455.1900000
btcUSD;M;20170701;000000;2455.1900000;2957.0000000;1758.2000000;2856.8800000
btcUSD;M;20170801;000000;2856.8900000;4769.0300000;2650.0000000;4743.9400000
btcUSD;M;20170901;000000;4743.9400000;4980.0000000;2975.0100000;4339.0000000
btcUSD;M;20171001;000000;4339.0100000;6472.1300000;4150.0100000;6445.0100000
btcUSD;M;20171101;000000;6445.0100000;11485.0000000;5511.1100000;9903.0000000
btcUSD;M;20171201;000000;9903.0100000;19891.9900000;9517.0000000;13863.1300000
btcUSD;M;20180101;000000;13863.1400000;17178.0000000;9017.4200000;10099.9900000
btcUSD;M;20180201;000000;10099.9900000;11775.0000000;5873.0000000;10307.2700000
btcUSD;M;20180301;000000;10307.2600000;11645.3600000;6600.0000000;6928.5000000
btcUSD;M;20180401;000000;6928.5000000;9763.4900000;6450.0000000;9243.8300000
btcUSD;M;20180501;000000;9243.8300000;9948.1200000;7058.0000000;7485.0000000
btcUSD;M;20180601;000000;7485.0000000;7777.0000000;5777.0000000;6383.1900000
btcUSD;M;20180701;000000;6383.1900000;8488.0000000;6075.1600000;7727.2700000
btcUSD;M;20180801;000000;7727.2800000;7750.0000000;5900.0000000;7015.0100000
btcUSD;M;20180901;000000;7015.0100000;7402.5000000;6106.3700000;6605.0000000
btcUSD;M;20181001;000000;6605.0000000;6810.0000000;6033.3400000;6304.1800000
btcUSD;M;20181101;000000;6304.1800000;6540.0000000;3456.7800000;3976.0000000
btcUSD;M;20181201;000000;3976.0100000;4277.0000000;3128.8900000;3691.8600000
btcUSD;M;20190101;000000;3691.8700000;4114.8000000;3337.8700000;3411.5000000
btcUSD;M;20190201;000000;3411.5000000;4188.7900000;3340.8000000;3792.1400000
btcUSD;M;20190301;000000;3792.1400000;4131.8700000;3672.3900000;4094.9900000
btcUSD;M;20190401;000000;4095.0000000;5650.0100000;4051.5300000;5270.6900000
btcUSD;M;20190501;000000;5270.6800000;9090.0000000;5265.6100000;8554.0600000
btcUSD;M;20190601;000000;8554.0600000;13868.4400000;7427.0000000;10761.2600000
btcUSD;M;20190701;000000;10761.2600000;13202.6300000;9071.0000000;10087.3000000
btcUSD;M;20190801;000000;10089.9700000;12320.4000000;9321.7300000;9600.8600000
btcUSD;M;20190901;000000;9600.8600000;10939.3400000;7701.0000000;8304.9600000
btcUSD;M;20191001;000000;8304.9500000;10540.4900000;7296.4400000;9159.4800000
btcUSD;M;20191101;000000;9159.9600000;9600.0000000;6526.0000000;7555.9200000
btcUSD;M;20191201;000000;7555.9200000;7555.9200000;7237.1600000;7354.1100000
