<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GDAX.BTC-USD;W;20190107;000000;4040.9800000;4114.8000000;3481.5400000;3514.2400000
GDAX.BTC-USD;W;20190114;000000;3514.2400000;3765.9000000;3481.0100000;3536.1900000
GDAX.BTC-USD;W;20190121;000000;3537.5600000;3657.7600000;3425.0000000;3531.0200000
GDAX.BTC-USD;W;20190128;000000;3531.0200000;3535.9200000;3337.8700000;3414.7800000
GDAX.BTC-USD;W;20190204;000000;3415.6900000;3711.0000000;3340.8000000;3648.8400000
GDAX.BTC-USD;W;20190211;000000;3648.8500000;3675.0000000;3535.1000000;3625.0800000
GDAX.BTC-USD;W;20190218;000000;3625.0800000;4188.7900000;3616.1800000;3734.2200000
GDAX.BTC-USD;W;20190225;000000;3734.2300000;3910.0000000;3655.0000000;3786.9300000
GDAX.BTC-USD;W;20190304;000000;3786.9300000;3947.3300000;3672.3900000;3900.9200000
GDAX.BTC-USD;W;20190311;000000;3900.9300000;4037.4700000;3779.2800000;3967.0100000
GDAX.BTC-USD;W;20190318;000000;3967.0100000;4056.3300000;3915.1400000;3969.5200000
GDAX.BTC-USD;W;20190325;000000;3969.5200000;4131.8700000;3858.0000000;4094.9900000
GDAX.BTC-USD;W;20190401;000000;4095.0000000;5345.0000000;4051.5300000;5194.7900000
GDAX.BTC-USD;W;20190408;000000;5194.7600000;5488.0000000;4901.9900000;5164.2700000
GDAX.BTC-USD;W;20190415;000000;5163.8100000;5359.9800000;4945.5400000;5297.6400000
GDAX.BTC-USD;W;20190422;000000;5297.6400000;5650.0100000;4967.0000000;5155.0000000
GDAX.BTC-USD;W;20190429;000000;5155.0000000;5846.8800000;5072.0100000;5715.8600000
GDAX.BTC-USD;W;20190506;000000;5715.8600000;7581.8200000;5564.9300000;6979.7600000
GDAX.BTC-USD;W;20190513;000000;6979.2400000;8388.0000000;6600.0000000;8200.0000000
GDAX.BTC-USD;W;20190520;000000;8194.3400000;8793.9700000;7467.1000000;8731.7200000
GDAX.BTC-USD;W;20190527;000000;8732.3400000;9090.0000000;7972.0000000;8736.5500000
GDAX.BTC-USD;W;20190603;000000;8736.5500000;8742.4800000;7427.0000000;7634.5800000
GDAX.BTC-USD;W;20190610;000000;7635.0500000;9388.0000000;7516.9000000;8975.0000000
GDAX.BTC-USD;W;20190617;000000;8975.7800000;11284.4400000;8919.7200000;10833.0200000
GDAX.BTC-USD;W;20190624;000000;10833.0000000;13868.4400000;10300.0000000;10761.2600000
GDAX.BTC-USD;W;20190701;000000;10761.2600000;12064.2600000;9651.0000000;11474.4200000
GDAX.BTC-USD;W;20190708;000000;11474.4400000;13202.6300000;10084.4000000;10185.0300000
GDAX.BTC-USD;W;20190715;000000;10190.9100000;11112.3100000;9071.0000000;10590.7000000
GDAX.BTC-USD;W;20190722;000000;10590.7100000;10688.1400000;9108.8800000;9533.0000000
GDAX.BTC-USD;W;20190729;000000;9533.0000000;11089.7400000;9356.7500000;10977.5100000
GDAX.BTC-USD;W;20190805;000000;10977.9800000;12320.4000000;10977.9800000;11540.7600000
GDAX.BTC-USD;W;20190812;000000;11540.7600000;11555.5500000;9470.0000000;10315.4800000
GDAX.BTC-USD;W;20190819;000000;10315.4800000;10953.0000000;9759.0000000;10138.7200000
GDAX.BTC-USD;W;20190826;000000;10142.0000000;10680.0000000;9321.7300000;9766.5200000
GDAX.BTC-USD;W;20190902;000000;9766.6200000;10939.3400000;9756.5400000;10398.9700000
GDAX.BTC-USD;W;20190909;000000;10401.1300000;10541.7500000;9851.9700000;10304.4600000
GDAX.BTC-USD;W;20190916;000000;10303.6600000;10379.9800000;9585.8600000;10026.8000000
GDAX.BTC-USD;W;20190923;000000;10026.7900000;10051.1500000;7712.4500000;8052.4000000
GDAX.BTC-USD;W;20190930;000000;8054.0900000;8535.0000000;7701.0000000;7859.7900000
GDAX.BTC-USD;W;20191007;000000;7859.7900000;8826.0000000;7762.3500000;8282.9700000
GDAX.BTC-USD;W;20191014;000000;8282.9600000;8420.0000000;7814.0800000;8236.1200000
GDAX.BTC-USD;W;20191021;000000;8235.9400000;10540.4900000;7296.4400000;9548.8400000
GDAX.BTC-USD;W;20191028;000000;9555.8900000;9939.6900000;8950.0000000;9206.5200000
GDAX.BTC-USD;W;20191104;000000;9206.5200000;9600.0000000;8660.0000000;9032.2300000
GDAX.BTC-USD;W;20191111;000000;9032.2300000;9067.3400000;8361.0000000;8500.0100000
GDAX.BTC-USD;W;20191118;000000;8501.0000000;8501.0100000;6775.4700000;6908.6400000
